Gene ID	Control-1(raw)	Control-2(raw)	Control-3(raw)	Treat-1(raw)	Treat-2(raw)	Treat-3(raw)	Control-1	Control-2	Control-3	Treat-1	Treat-2	Treat-3	Gene Symbol
67864	829.33124	682.2606	746.2897	712.6677	661.57227	716.4942	0.18559837	0.18693304	-0.03687668	0.036877155	-0.054986477	-0.07647991	Yipf4
102633946	0	0	0	0	0	0	0	0	0	0	0	0	Gm31645
12211	6423.0005	5548.4136	7462.4604	6587.642	5613.7764	6261.9863	-0.035893917	0.035893917	0.11024761	0.07061863	-0.14470482	-0.123606205	Birc6
74196	115.45623	110.16665	178.72446	138.91774	75.94654	72.14337	-0.107650995	0.10765076	0.4524777	0.2292316	-0.6264758	-0.83714294	Ttc27
102634093	0	0	0	0	0	0	0	0	0	0	0	0	Gm31759
102634167	0	0	0	0	0	0	0	0	0	0	0	0	Gm31818
268977	2701.8513	2043.3477	2807.387	1655.0791	1341.0471	1254.1062	0.37855196	0.25849867	0.36356926	-0.25849867	-0.54657173	-0.7798214	Ltbp1
621988	0	0	0	0	0	0	0	0	0	0	0	0	Gm6276
240168	3895.1814	3103.4836	4201.2344	994.1611	732.06714	731.38696	0.97249174	0.9276495	1.0113516	-0.92765	-1.3536863	-1.4915771	Rasgrp3
72722	184.1652	155.88937	251.69745	224.81525	172.40762	201.00883	-0.058827877	-0.016345501	0.32159972	0.29890895	-0.0685401	0.016345501	Fam98a
668787	0	0	0	0	0	0	0	0	0	0	0	0	Gm9360
108168327	0	0	0	0	0	0	0	0	0	0	0	0	Gm46584
100043885	3	8	6	0	1.5	7.5	-0.10061679	0.8688771	0.10061679	-0.10061679	-0.10061679	0.4417226	Gm4710
100043886	0	0	0	0	0	0	0	0	0	0	0	0	Gm16391
100417021	0	0	0	0	0	0	0	0	0	0	0	0	Gm18366
624348	0	0	0	0	0	0	0	0	0	0	0	0	Gm6496
545234	0	0	0	0	0	0	0	0	0	0	0	0	Rpsa-ps8
100043887	0	0	0	0	0	0	0	0	0	0	0	0	Gm4711
102634511	0	0	0	0	0	0	0	0	0	0	0	0	Gm32076
383275	0	0	0	0	0	0	0	0	0	0	0	0	Gm5229
102634780	5	7.245263	5.399456	0	1	6.5833335	-0.020311594	0.79775846	0.020311594	-1.1865032	-1.1865032	0.32549357	Gm32282
50766	7670.7104	6447.917	9014.064	5886.8623	4486.3145	5301.3413	0.15593147	0.18836498	0.3184862	-0.15593195	-0.53243303	-0.42815638	Crim1
105246318	0	0	0	0	0	0	0	0	0	0	0	0	Gm41620
225020	1145.2576	909.8394	1197.3636	1073.047	888.288	918.1045	0.036494732	-0.012533665	0.030421257	0.012533188	-0.24461317	-0.33353233	Fez2
102634849	0	0	0	0	0	0	0	0	0	0	0	0	Gm32336
102635024	0	0	0	0	0	0	0	0	0	0	0	0	Gm32464
102634924	0	0	0	0	0	0	0	0	0	0	0	0	LOC102634924
15181	0	0	0	0	0	0	0	0	0	0	0	0	Gm10093
74199	3	3.9066668	3.257143	6.6933336	6.4934816	3.023129	0	0	0	0	0	0	Vit
102635167	0	0	0	0	0	0	0	0	0	0	0	0	Gm32573
268980	981.4446	721.54974	969.16125	1023.7049	847.2204	895.30927	0.10756874	-0.053278923	0.019135952	0.23838758	-0.019135952	-0.07603693	Strn
100417499	0	0	0	0	0	0	0	0	0	0	0	0	Gm18649
320473	730.0637	600.96893	858.8405	776.71234	646.62476	633.7741	-0.001114368	0.001113892	0.16299057	0.1582408	-0.09074354	-0.25625324	Heatr5b
53951	329.91714	243.20717	396.713	373.01828	351.635	355.75885	-0.11757517	-0.27453327	0.07815409	0.12956476	0.05986452	-0.05986452	Gpatch11
625054	326.61002	274.08246	419.06253	203.88878	175.46622	171.56332	0.30489445	0.3348956	0.59422827	-0.30489492	-0.50601673	-0.6750183	Gm6548
19106	855.408	742.7848	1106.366	537.28394	424.50766	516.8821	0.3004651	0.37975645	0.6013465	-0.30046558	-0.62489223	-0.47739744	Eif2ak2
105246320	0	0	0	0	0	0	0	0	0	0	0	0	Gm26637
73671	3.357143	7.035714	13	2.6153889	4.1263638	1.7762657	0	0	0.4655876	0	0	0	Sult6b1
68554	58.47979	48.555832	68.466866	77.173935	77.403206	74.73598	-0.22999263	-0.21532607	-0.07278752	0.24018049	0.25992727	0.072787285	Cebpzos
12607	669.2702	532.6137	794.30493	683.8284	802.2423	688.5608	-0.050521374	-0.09706068	0.12632036	0.05052185	0.29639244	-0.060611248	Cebpz
73694	182.1617	161.4028	217.38289	213.7584	178.13213	218.71962	-0.14658093	-0.038175106	0.038175106	0.15417814	-0.09338808	0.06619692	Ndufaf7
75292	2659.896	2121.0781	3036.6824	3000.3623	2648.8547	2800.4756	-0.05134058	-0.09495258	0.06952286	0.19242382	0.028123379	-0.028123379	Prkd3
105246321	0	0	0	0	0	0	0	0	0	0	0	0	Gm41622
70536	20	13.999999	18	16	46.000004	31	0.11113286	-0.1204803	-0.1111328	-0.14079767	1.3982315	0.6923162	Qpct
383277	0	0	0	0	0	0	0	0	0	0	0	0	Gm5230
260409	124.74194	115.63333	146.85332	205.44257	131.38889	168.6162	-0.16936898	0.004201889	-0.004202366	0.6204171	-0.009007454	0.2143426	Cdc42ep3
102635677	0	0	0	0	0	0	0	0	0	0	0	0	Gm32954
74622	0	0	0	0	2	0	0	0	0	0	0	0	4930429F11Rik
100038718	2	5	1	0.90697676	2	1	0	0	0	0	0	0	Gm10494
105246322	0	0	0	0	0	0	0	0	0	0	0	0	Gm41623
639964	0	0	0	0	0	0	0	0	0	0	0	0	Gm7283
381110	65.881874	39.451622	50.716297	67.326294	59.383682	118.62488	0.032175064	-0.42466176	-0.4155197	0.133461	-0.032175064	0.8295431	Rmdn2
102635746	0	0	0	0	0	0	0	0	0	0	0	0	Gm33006
13078	47.911884	30.205236	26	35	38	42.195946	0.31577218	-0.06685269	-0.63636255	-0.06725907	0.06685263	0.081407964	Cyp1b1
105246323	0	0	0	0	0	0	0	0	0	0	0	0	Gm41624
